T,player,seed,map_path,run_path,score,sec,returncode
7056,4,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=4#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,6.834,0
7056,5,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=5#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,7.187,0
7056,6,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=6#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,6.807,0
7056,7,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=7#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,7.514,0
7056,8,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=8#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,7.615,0
7056,9,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=9#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,6.957,0
7056,10,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=10#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,2,7.345,0
2016,1,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=1#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,-1,-1,1
2016,2,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=2#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.445,0
2016,3,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=3#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.45,0
2016,4,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=4#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.409,0
2016,5,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=5#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.486,0
2016,6,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=6#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.409,0
2016,7,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=7#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.7,0
2016,8,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=8#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.621,0
2016,9,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=9#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.421,0
2016,10,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=2016#player=10#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,4.411,0
